1465109186.785674776 CoordinatorMain.cc:97 in main NOTICE[1]: Command line: /home/syang0/.netbeans/remote/rcmaster.scs.stanford.edu/stephens-macbook-pro-6.local-MacOSX-x86_64/Users/syang0/Desktop/ramcloud_curr/obj.dataViz/coordinator -C tcp:host=rc19,port=12246 -l NOTICE --logFile logs/20160604234626/coordinator.rc19.log
1465109187.653651210 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.663927060 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.664017943 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.674298856 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.674384890 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.684595798 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.684656113 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.694939578 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.695006275 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.705295333 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.705362487 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.715646019 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.715712321 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.725994436 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.726081214 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.736337593 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.736406091 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.746685265 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.746772955 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.757052650 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.757120871 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.767400356 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.767468697 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.777769389 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.777836844 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.788113750 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.788199095 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.798472308 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.798558866 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.808831022 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.808850490 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.808868254 MemoryMonitor.cc:62 in handleTimerEvent NOTICE[3]: Memory usage now 110 MB (increased 16 MB)
1465109187.819091330 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.819110099 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.829388699 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.829406916 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.839685721 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.839704544 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.849929061 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
